"IDDOL","路線名","規制区間（始点）","規制区間（終点）","規制開始日時","規制終了日時","方向区分","規制状況","規制原因","路面状況","路面状況詳細","規制曜日","規制曜日詳細","規制時間","規制時間詳細","規制車両","規制車両詳細","迂回路の有無","迂回路","所管事務所1","所管事務所2","施工業者","備考","FID"
1887,"一般国道 371号","古座川町添野川（湯の花橋から約1.5km上流）","古座川町添野川（湯の花橋から約1.5km上流）","2015/03/26","2015/08/31 17:00","上下","全面通行止","","","","日祝除く","（4月3日～4月12日は規制解除。）","終日","17時～翌日8時は２ｔ車以下通行可。","","","有","町道下露平井三河線～町道佐田下露線","","串本建設部","(有)竹本組","夜間、状況に通行可能となる際は、湯の花橋・和郷橋の通行止め看板に「本日解除中」を表示。",967
1890,"一般県道 野上清水線","紀美野町坂本","紀美野町坂本","2015/01/26 9:00","2015/05/31 17:00","上下","全面通行止","","","","","","終日","","","","有","町道東福井牧場線","","海南工事事務所","有限会社中家管工業","",1026
1891,"一般県道 野上清水線","紀美野町坂本","紀美野町坂本","2015/01/26 9:00","2015/05/31 17:00","上下","全面通行止","","","","","","終日","","","","有","町道東福井牧場線","","海南工事事務所","有限会社中家管工業","",1026
1892,"橋本市道","橋本市西畑","橋本市西畑","2015/04/01","2015/05/31","上下","全面通行止","","","","","","時間規制","8:00～17:00","","","有","","","道路保全課","","",1091
1893,"橋本市道","橋本市西畑","橋本市西畑","2015/04/01","2015/05/31","上下","全面通行止","","","","","","時間規制","8:00～17:00","","","有","","","道路保全課","","",1091
1894,"橋本市道","橋本市高野口町応其","橋本市高野口町応其","2015/04/01","2015/05/31","上下","全面通行止","","","","","","終日","","","","有","","","道路保全課","","",1088
1895,"橋本市道","橋本市高野口町応其","橋本市高野口町応其","2015/04/01","2015/05/31","上下","全面通行止","","","","","","終日","","","","有","","","道路保全課","","",1088
1898,"橋本市道","橋本市神野々","橋本市神野々","2015/04/01","2015/04/30","上下","全面通行止","","","","","","終日","","","","有","","","道路保全課","","",1086
1899,"橋本市道","橋本市神野々","橋本市神野々","2015/04/01","2015/04/30","上下","全面通行止","","","","","","終日","","","","有","","","道路保全課","","",1086
1900,"橋本市道","橋本市北馬場","橋本市橋本","2015/04/01","2015/05/09","上下","全面通行止","","","","","","終日","","","","有","","","道路保全課","","",1085
1901,"橋本市道","橋本市北馬場","橋本市橋本","2015/04/01","2015/05/09","上下","全面通行止","","","","","","終日","","","","有","","","道路保全課","","",1085
1902,"橋本市道","橋本市高野口町向島","橋本市高野口町向島","2015/04/01","2015/05/31","上下","全面通行止","","","","","","終日","","","","有","","","道路保全課","","",1084
1903,"橋本市道","橋本市高野口町向島","橋本市高野口町向島","2015/04/01","2015/05/31","上下","全面通行止","","","","","","終日","","","","有","","","道路保全課","","",1084
1904,"橋本市道","橋本市恋野","橋本市恋野","2015/04/01","2015/04/30","上下","全面通行止","","","","","","終日","","","","有","","","道路保全課","","",1083
1905,"橋本市道","橋本市恋野","橋本市恋野","2015/04/01","2015/04/30","上下","全面通行止","","","","","","終日","","","","有","","","道路保全課","","",1083
1906,"日高川町道","日高川町上田原","日高川町上田原","2011/09/04","2016/03/31","上下","全面通行止","","","","","","終日","","","","有","","","道路保全課","","",1082
1907,"日高川町道","日高川町上田原","日高川町上田原","2011/09/04","2016/03/31","上下","全面通行止","","","","","","終日","","","","有","","","道路保全課","","",1082
1908,"日高川町道","日高川町皆瀬","日高川町皆瀬","2014/11/10","2015/05/30","上下","全面通行止","","","","","","終日","","","","有","","","道路保全課","","",1081
1909,"日高川町道","日高川町皆瀬","日高川町皆瀬","2014/11/10","2015/05/30","上下","全面通行止","","","","","","終日","","","","有","","","道路保全課","","",1081
1910,"一般県道 平瀬上三栖線","田辺市上野","田辺市上野","2015/01/13 8:00","2015/06/30 17:00","上下","全面通行止","","","","日祝除く","","時間規制","8時～17時","緊急車両除く","","有","市道","","西牟婁建設部","楠本重機","",1018
