"ID_DOL","IDDOL","路線名","規制区間（","規制区間_1","規制開始日","規制終了日","方向区分","規制状況","規制原因","路面状況","路面状況詳","規制曜日","規制曜日詳","規制時間","規制時間詳","規制車両","規制車両詳","迂回路の有","迂回路","所管事務所","所管事務_1","施工業者","備考","IDDOL_1","FID_1","S_TKY2JGD","X","Y"
1763,1763,"一般県道 平瀬上三栖線","田辺市上野","田辺市上野",20150113,"2015/03/27 17:00","上下","全面通行止","","","","日祝除く","","時間規制","8時～17時","緊急車両除く","","有","市道","","西牟婁建設部","楠本重機","",1763,1018,0,135.468034209,33.770825860
1776,1776,"一般県道 新田広芝岩出停車場線","岩出市南大池","岩出市水栖",20150110,"2015/02/28 17:00","上下","片側交互通行","","","","","","終日","","","","無","","","那賀建設部","増尾建設","",1776,1009,0,135.325864841,34.271974239
1777,1777,"一般県道 新田広芝岩出停車場線","岩出市南大池","岩出市水栖",20150110,"2015/02/28 17:00","上下","片側交互通行","","","","","","終日","","","","無","","","那賀建設部","増尾建設","",1777,1009,0,135.325780863,34.271176306
1780,1780,"一般県道 西川原名手市場線","紀の川市東川原","紀の川市東川原",20150109,"2015/03/20 17:00","上下","片側交互通行","","","","","","終日","","","","無","","","那賀建設部","南村建設","",1780,1024,0,135.431490929,34.301213498
1781,1781,"一般県道 西川原名手市場線","紀の川市東川原","紀の川市東川原",20150109,"2015/03/20 17:00","上下","片側交互通行","","","","","","終日","","","","無","","","那賀建設部","南村建設","",1781,1024,0,135.431823909,34.300848536
1786,1786,"主要地方道 田辺龍神線","田辺市秋津川","田辺市龍神村柳瀬",20150101,"未定","","チェーン規制","路面凍結","路面凍結","","","","終日","","","","無","","西牟婁建設部","","","",1786,1020,0,135.440708031,33.822681779
1787,1787,"主要地方道 田辺龍神線","田辺市秋津川","田辺市龍神村柳瀬",20150101,"未定","","チェーン規制","路面凍結","路面凍結","","","","終日","","","","無","","西牟婁建設部","","","",1787,1020,0,135.470546127,33.874729648
1790,1790,"一般県道 野上清水線","紀美野町坂本","紀美野町坂本",20150126,"2015/03/31 17:00","上下","全面通行止","","","","","","終日","","","","有","町道東福井牧場線","","海南工事事務所","有限会社中家管工業","",1790,1026,0,135.346163339,34.117850679
1791,1791,"一般県道 野上清水線","紀美野町坂本","紀美野町坂本",20150126,"2015/03/31 17:00","上下","全面通行止","","","","","","終日","","","","有","町道東福井牧場線","","海南工事事務所","有限会社中家管工業","",1791,1026,0,135.345914362,34.117611706
1806,1806,"主要地方道 かつらぎ桃山線","紀の川市上鞆渕","紀の川市上鞆渕",20150121,"2015/02/20 17:00","上下","片側交互通行　４ｔ車以上通行不可","","","","","","時間規制","９：００　～　１７：００","","","無","","","那賀建設部","","",1806,1023,0,135.466213997,34.219449227
1807,1807,"主要地方道 かつらぎ桃山線","紀の川市上鞆渕","紀の川市上鞆渕",20150121,"2015/02/20 17:00","上下","片側交互通行　４ｔ車以上通行不可","","","","","","時間規制","９：００　～　１７：００","","","無","","","那賀建設部","","",1807,1023,0,135.470438395,34.223706707
1810,1810,"一般県道 静川請川線","田辺市本宮町静川","田辺市本宮町静川",20150206,"2015/03/27 17:00","上下","時間規制","","","","日祝除く","","時間規制","９：００～１０：００　１０：２０～１２：００　１３：００～１５：００　１５：２０～１６：１０　１６：３０～１７：００","","","無","","","西牟婁建設部","庄田組","",1810,1039,0,135.746788260,33.798133991
1811,1811,"一般県道 静川請川線","田辺市本宮町静川","田辺市本宮町静川",20150206,"2015/03/27 17:00","上下","時間規制","","","","日祝除く","","時間規制","９：００～１０：００　１０：２０～１２：００　１３：００～１５：００　１５：２０～１６：１０　１６：３０～１７：００","","","無","","","西牟婁建設部","庄田組","",1811,1039,0,135.746756264,33.798166987
1816,1816,"一般県道 上初湯川皆瀬線","日高川町皆瀬","日高川町皆瀬",20150123,"2015/03/05 17:00","上下","通行止","","","","","","時間規制","9:00～12:00、13:00～14:30、15:00～17:00の間通行止","","","無","","","日高建設部","","9:00～12:00、13:00～14:30、15:00～17:00の間通行止",1816,1033,0,135.378696695,33.985998844
1817,1817,"一般県道 上初湯川皆瀬線","日高川町皆瀬","日高川町皆瀬",20150123,"2015/03/05 17:00","上下","通行止","","","","","","時間規制","9:00～12:00、13:00～14:30、15:00～17:00の間通行止","","","無","","","日高建設部","","9:00～12:00、13:00～14:30、15:00～17:00の間通行止",1817,1033,0,135.379310591,33.987457684
1818,1818,"一般国道 424号","みなべ町広野","みなべ町広野",20150202,"2015/03/20 17:00","上下","通行止","","","","","","時間規制","9:00～17:00の間、通行止","","","有","","","日高建設部","","",1818,1038,0,135.358919160,33.838650123
